individual,group,sex,audio_name,syllable,syllable_number,start_frequency,end_frequency,f0,min_f0,max_f0,range,duration,slope,fex,concavity
A5,can_tutored,female,A5_3_14_Theme_1_A,A,1,3750,3562.5,3750,3562.5,3937.5,375,42.666667,1.136516703,0.083813527,0
A5,can_tutored,female,A5_3_14_Theme_1_A,A,2,3562.5,3562.5,3562.5,3562.5,3562.5,0,50.666667,0,0.050666667,0
A5,can_tutored,female,A5_3_14_Theme_1_A,A,3,3562.5,3562.5,3571.875,3562.5,3750,187.5,50.666667,0.638044465,0.078097907,0
A5,can_tutored,female,A5_3_14_Theme_1_A,A,4,3562.5,3562.5,3571.875,3562.5,3750,187.5,50.666667,0.638044465,0.078097907,0
A5,can_tutored,female,A5_3_14_Theme_1_A,A,5,3562.5,3562.5,3562.5,3562.5,3562.5,0,50.666667,0,0.050666667,0
A5,can_tutored,female,A5_3_14_Theme_1_A,A,6,3750,3750,3767.045455,3750,3937.5,187.5,56,0.577278325,0.08343124,0
A5,can_tutored,female,A5_3_14_Theme_1_A,B,7,6375,3750,4753.125,3562.5,6375,2812.5,50.666667,5.104355717,0.28685457,0
A5,can_tutored,female,A5_3_14_Theme_1_A,C,8,6750,3000,3585.416667,2437.5,6750,4312.5,490.666667,6.90798979,3.484219198,13
A5,can_tutored,female,A5_3_14_Theme_1_A,D,9,4500,3562.5,4576.388889,3562.5,5437.5,1875,69.333333,3.49697447,0.279818755,1
A5,can_tutored,female,A5_3_14_Theme_1_A,E,10,6562.5,2812.5,4007.66129,2625,6750,4125,410.666667,8.580455105,3.647404432,33
A5,can_tutored,female,A5_3_14_Theme_1_A,D,11,4875,3562.5,4708.333333,3562.5,5437.5,1875,69.333333,3.030711207,0.249975872,1
A5,can_tutored,female,A5_3_14_Theme_1_A,E,12,6562.5,3000,4082.214765,2437.5,6750,4312.5,394.666667,8.887355836,3.632014337,35
A5,can_tutored,female,A5_3_14_Theme_1_A,D,13,5437.5,3562.5,4575,3562.5,5437.5,1875,64,2.525592672,0.203495679,0
A5,can_tutored,female,A5_3_14_Theme_1_A,E,14,6562.5,2437.5,4249.533582,2437.5,6750,4312.5,354.666667,6.836190692,2.534528511,16
A5,can_tutored,female,A5_3_14_Theme_1_A,D,15,4312.5,3750,4580.357143,3562.5,5250,1687.5,72,3.367456897,0.282413257,1
A5,can_tutored,female,A5_3_14_Theme_1_A,F,16,6375,3562.5,5642.857143,3562.5,6750,3187.5,53.333333,5.758351293,0.333068768,0
A5,can_tutored,female,A5_3_14_Theme_1_A,E,17,6187.5,3000,4052.530675,2437.5,6750,4312.5,432,5.350514847,2.490154708,11
A5,can_tutored,female,A5_3_14_Theme_1_B,A,1,3750,3562.5,3611.842105,3562.5,3750,187.5,48,1.010237069,0.08914686,0
A5,can_tutored,female,A5_3_14_Theme_1_B,A,2,3562.5,3562.5,3562.5,3562.5,3562.5,0,56,0,0.056,0
A5,can_tutored,female,A5_3_14_Theme_1_B,A,3,3562.5,3750,3681.818182,3562.5,3750,187.5,56,1.443195813,0.1245781,0
A5,can_tutored,female,A5_3_14_Theme_1_B,G,4,5062.5,3750,4019.021739,3562.5,5250,1687.5,61.333333,5.510384013,0.410412889,2
A5,can_tutored,female,A5_3_14_Theme_1_B,C,5,6750,2812.5,3710.416667,2437.5,6750,4312.5,477.333333,9.854044259,4.826539486,52
A5,can_tutored,female,A5_3_14_Theme_1_B,D,6,5625,3750,4560.267857,3562.5,5625,2062.5,72,3.591954023,0.296128877,0
A5,can_tutored,female,A5_3_14_Theme_1_B,E,7,6187.5,2812.5,4108.064516,2437.5,6562.5,4125,410.666667,9.367652821,3.969416142,40
A5,can_tutored,female,A5_3_14_Theme_1_B,D,8,4875,3562.5,4709.134615,3562.5,5437.5,1875,66.666667,3.636853448,0.272400968,1
A5,can_tutored,female,A5_3_14_Theme_1_B,E,9,6375,2437.5,4113.674497,2437.5,6750,4312.5,394.666667,8.477800268,3.470743795,38
A5,can_tutored,female,A5_3_14_Theme_1_B,D,10,5062.5,3750,4410.714286,3562.5,5062.5,1500,53.333333,2.727640086,0.179113392,0
A5,can_tutored,female,A5_3_14_Theme_1_B,F,11,6187.5,3187.5,5437.5,3187.5,6562.5,3375,40,8.890086207,0.367875186,0
A5,can_tutored,female,A5_3_14_Theme_1_B,H,12,6375,4687.5,5906.25,4687.5,6375,1687.5,50.666667,2.871200091,0.176446725,0
A5,can_tutored,female,A5_3_14_Theme_1_B,E,13,6187.5,2812.5,4246.240602,2437.5,6375,3937.5,352,6.520621082,2.43219897,18
A5,can_tutored,female,A5_3_14_Theme_1_B,D,14,4312.5,3750,4406.25,3562.5,4875,1312.5,66.666667,3.151939655,0.252060326,1
A5,can_tutored,female,A5_3_14_Theme_1_B,A,15,3562.5,3375,3468.75,3375,3562.5,187.5,18.666667,2.597752463,0.059813527,0
A5,can_tutored,female,A5_3_14_Theme_1_B,A,16,3562.5,3562.5,3562.5,3562.5,3562.5,0,18.666667,0,0.018666667,0
A5,can_tutored,female,A5_3_14_Theme_1_B,A,17,3375,3375,3458.333333,3375,3562.5,187.5,21.333333,1.515355603,0.048764573,0
A5,can_tutored,female,A5_3_14_Theme_1_B,A,18,3375,3375,3492.1875,3375,3562.5,187.5,18.666667,1.731834975,0.046097907,0
A5,can_tutored,female,A5_3_14_Theme_1_B,A,19,3375,3562.5,3525,3375,3562.5,187.5,24,2.020474138,0.06514686,0
A5,can_tutored,female,A5_3_14_Theme_1_B,A,20,3375,3375,3458.333333,3375,3562.5,187.5,21.333333,1.515355603,0.048764573,0
A5,can_tutored,female,A5_3_14_Theme_1_B,A,21,3375,3375,3437.5,3375,3562.5,187.5,21.333333,1.515355603,0.048764573,0
A5,can_tutored,female,A5_3_14_Theme_1_B,A,22,3375,3375,3458.333333,3375,3562.5,187.5,21.333333,1.515355603,0.048764573,0
A5,can_tutored,female,A5_3_14_Theme_1_C,A,1,3750,3562.5,3714.285714,3562.5,3750,187.5,53.333333,0.909213362,0.094480194,0
A5,can_tutored,female,A5_3_14_Theme_1_C,G,2,4312.5,3750,4000,3562.5,5437.5,1875,53.333333,5.758351293,0.342934044,1
A5,can_tutored,female,A5_3_14_Theme_1_C,C,3,6750,2812.5,3607.954545,2437.5,6750,4312.5,525.333333,10.24595768,5.516400494,57
A5,can_tutored,female,A5_3_14_Theme_1_C,D,4,5062.5,3562.5,4548.611111,3375,5437.5,2062.5,69.333333,3.730106101,0.293462211,0
A5,can_tutored,female,A5_3_14_Theme_1_C,E,5,6750,2437.5,4090.561224,2437.5,6750,4312.5,389.333333,10.08853183,4.055524367,42
A5,can_tutored,female,A5_3_14_Theme_1_C,D,6,5437.5,3750,4569.444444,3562.5,5437.5,1875,69.333333,2.564447944,0.220205154,0
A5,can_tutored,female,A5_3_14_Theme_1_C,E,7,5625,2812.5,4140.391791,2812.5,6562.5,3750,357.333333,8.157854226,3.042115445,21
A5,can_tutored,female,A5_3_14_Theme_1_C,D,8,4312.5,3562.5,4541.666667,3562.5,5250,1687.5,69.333333,3.730106101,0.300624974,1
